1	10	1212.42059	156.4575015	-92.44639903	-45.98442503	-35.68458213	-23.32595972	-28.05100581	-25.84797828	-10.76496095	-9.764020633	-27.0631474	9.265252097	10.93455266	1
1	13	1188.852259	49.63217232	-133.5505702	3.961812788	-43.95310672	-2.662027676	-35.38946293	-14.15084035	-30.33349161	4.139253324	-29.57106718	6.515742219	2.336874706	1
2	10	957.2604239	185.137097	92.51825317	-64.70197462	-44.31930893	-61.46902046	-23.6978958	-30.08582297	-29.19716727	-12.68598863	-4.104542154	1.532406946	10.52110452	1
3	10	967.6903271	251.9506542	-8.101083403	-142.5034745	-49.05571258	-25.29342088	-33.44523522	-67.19623871	-17.69096585	-7.244671737	-8.010252228	-14.42107285	11.08716547	1
3	13	1050.464419	189.7295856	-55.63254865	-111.5717363	-53.64524499	-17.62498667	-24.0664598	-14.91986759	-35.07975173	-10.78283215	-32.60847807	-7.648481912	4.668337053	1
4	10	1020.31943	207.5779222	-11.36943672	-130.5872467	-47.49801683	-34.64090976	-37.59608077	-18.32521352	-42.77308581	-17.27567398	-25.10943446	-23.7495361	14.43017391	1
4	13	1282.214462	56.52073975	-3.973530623	-108.7309022	-46.28334228	-17.09394496	-40.08194073	-14.05116921	-21.30371892	-29.08403788	-24.68936259	-11.59036468	7.729881144	1
5	10	998.3867708	268.9383172	-56.18257877	-149.7126185	-18.03917727	-47.90328836	-22.88992719	-20.27428394	-27.66592615	-21.53096206	-33.67084572	0.639149938	12.19482579	1
5	13	1161.209559	154.8382544	-73.30740252	-82.97741635	-33.17476268	-11.09202324	-62.66250888	-4.032186525	-47.22116375	-27.32484422	-9.997709081	-8.67583181	-16.33324267	1
6	10	1080.530325	183.4829429	28.98951293	-37.79046678	-89.68444387	-43.10497555	-18.25642191	-24.87616597	-35.86833555	-26.63823267	-2.246012129	-0.020929171	3.333225137	1
6	13	1318.298864	82.79489488	-23.65189893	37.42733003	-68.27601342	-23.64804581	-50.18205195	-43.62390666	-41.06581786	-5.95440934	-9.539870584	-1.668697043	-3.813789433	1
